122.00000,0.10000000,1381095255.5514,s,l,
123.61000,0.10000000,1381179030.4815,s,l,
123.91000,1.00000000,1381201115.641,s,l,
123.90000,0.99160000,1381201115.6567,s,l,
124.19000,1.00000000,1381210004.1001,s,l,
124.18000,1.00000000,1381210004.1077,s,l,
124.01687,1.00000000,1381311039.011,s,l,
124.01687,1.00000000,1381311093.9123,s,l,
123.84000,0.82300000,1381311094.4288,b,l,
125.85000,1.00000000,1381431835.1776,b,l,
125.86000,1.00000000,1381431835.1855,b,l,
127.50000,1.00000000,1381571264.3732,s,l,
127.40000,1.00000000,1381571264.3809,s,l,
127.00000,2.00000000,1381571264.3888,s,l,
131.84080,0.10000000,1381690570.0488,b,l,
134.80000,0.24000000,1381717838.5362,b,l,
134.35230,1.00000000,1381725605.193,s,l,
134.35230,1.00000000,1381725606.4502,s,l,
134.35230,2.00000000,1381725607.6992,s,l,
134.35230,0.28400000,1381725608.9371,s,l,
